title,category,jingle_fname,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,genre,key,kmeans_clusters,embeddings_clusters
Продажные блогеры,Бизнес и работа,prodazhnye_blogery_jingle.mp3,204800.0,0.3887459933757782,0.1033180579543113,0.0781107097864151,0.0008900222019292,1120.3972524331427,1958640.690347266,1470.9166335849948,1209763.4067691572,1959.5751831359107,8421232.12022383,0.0212177076839152,0.0006190472389449,1.670292294875253e-05,0.0065372153185307,0.0001290590880671,0.0003168026742059,97.50884433962266,-386.3446960449219,5308.65087890625,161.0736846923828,2029.6727294921875,20.1762924194336,1293.1197509765625,33.12595367431641,503.3192138671875,24.67868423461914,328.9416198730469,4.874074935913086,323.1268005371094,-4.940464973449707,114.91427612304688,2.287109613418579,114.08876037597656,-0.2499298304319381,127.36012268066406,2.674293041229248,104.55245971679688,-16.023920059204098,242.7203521728516,-21.071746826171875,282.57373046875,-8.38603401184082,77.12898254394531,-10.448320388793944,74.2175521850586,-24.179241180419922,91.5400161743164,-20.96786880493164,109.59667205810548,-19.634580612182614,86.0593032836914,-20.49159812927246,73.55184173583984,-5.9489827156066895,79.09891510009766,-0.9896218180656432,100.85717010498048,Pop,c min,6,2
Лучшая версия,Бизнес и работа,luchshaja_versija_jingle.mp3,223949.0,0.4748496115207672,0.0792691335082054,0.1509093344211578,0.0070502893067896,2580.800271925067,1180016.4703314286,2739.8111978098127,583118.2158076111,5376.762160209761,5084723.947306897,0.0609448576626712,0.0010599175656483,1.4646508134319449e-05,0.013166774995625,0.0007366252248175,0.0077868364751338,191.40625,-137.49618530273438,2290.043701171875,153.21128845214844,897.44091796875,-45.30397033691406,316.1078796386719,48.66986846923828,362.6612548828125,-6.183958053588867,264.32522583007807,17.592243194580078,268.75704956054693,-2.767232894897461,145.00318908691406,5.830850601196289,119.65725708007812,-1.2828351259231567,101.19315338134766,-2.584235191345215,78.18370819091797,1.5578855276107788,54.30506134033203,-0.2998527586460113,55.970069885253906,0.0041281641460955,53.81135940551758,-3.1745831966400133,61.128211975097656,-1.5340032577514648,72.44062805175781,-4.276560306549071,61.76815414428711,0.041711501777172005,50.63139724731445,-1.703580379486084,61.47264099121094,-0.660678505897522,40.62626266479492,-5.065742015838623,53.961669921875,Rock,b min,1,1
Морское время,Бизнес и работа,morskoe_vremja_jingle.mp3,241574.0,0.4557723104953766,0.0753871798515319,0.0126903504133224,0.000114587812277,4215.010129910592,2292184.567045804,3796.269986393701,360392.1061612995,8264.27912307998,7768248.945596325,0.1242468882415254,0.0050315923370256,1.2976853724921966e-07,8.061381231527776e-05,1.8250930224894542e-06,0.0001567510189488,126.04801829268291,-369.0224304199219,10719.5087890625,99.98822784423828,770.7360229492188,-52.75996780395508,648.3055419921875,48.93467330932617,297.6154479980469,-20.62542152404785,529.8543701171875,13.8121337890625,312.5940246582031,-39.60743713378906,214.79022216796875,9.84044361114502,130.2850341796875,-24.90607452392578,67.79938507080078,3.73315954208374,72.3616943359375,-21.629779815673828,81.93492889404297,-9.175127029418944,72.85722351074219,-10.121710777282717,40.42098617553711,-8.320003509521483,39.0504264831543,-5.691977500915527,117.01861572265624,-16.325553894042972,99.41861724853516,-1.4309617280960083,62.30641555786133,-11.144022941589355,50.804359436035156,2.6939971446990967,29.91250228881836,-16.830514907836914,54.34208679199219,Rock,c# min,2,2
Полусладкий подкаст,Бизнес и работа,polusladkij_podkast_jingle.mp3,172413.0,0.5779055953025818,0.0787540972232818,0.06690164655446999,0.0015912331873551,2406.2180452616844,3659390.582828399,3155.6920421951177,1321188.0381356464,5027.268117117953,16795966.269095805,0.0383134157084569,0.0033868072701963,-7.962186646182091e-05,0.004236620850861,0.0002262724592583,0.0007591859321109,109.95678191489357,-346.2214660644531,11257.6337890625,107.61271667480469,2000.097412109375,-1.7815139293670654,1048.3631591796877,41.35874938964844,655.1956787109375,9.018978118896484,437.4243469238281,33.660293579101555,171.9407196044922,15.815351486206055,243.75315856933602,25.150230407714844,183.0369110107422,9.200742721557617,174.8777313232422,18.404674530029297,108.1991729736328,4.033396720886231,73.87074279785156,7.178309440612793,54.37647247314453,4.080183982849121,42.5106315612793,5.964882373809815,34.37356948852539,8.105985641479492,45.48529052734375,0.9971574544906616,42.451026916503906,3.922683477401733,39.05722427368164,-6.2840189933776855,40.48911666870117,1.4394437074661257,57.13883590698242,1.808824896812439,37.11448669433594,Reggae,C Maj,2,2
Интернет-маркетинг SDK,Бизнес и работа,internetmarketing_sdk_jingle.mp3,541210.0,0.3464446365833282,0.0922569781541824,0.1010680273175239,0.0033092198427766,2822.3280704432877,1659474.648694401,3079.2081544900407,864234.8706548195,5696.671980225071,8096057.553053894,0.0701025113716918,0.0020233880198512,-2.3543016141047697e-06,0.008172077126801,-1.2149598660471385e-05,0.0028413850814104,172.265625,-213.1144561767578,4650.1181640625,130.43980407714844,1300.69580078125,-23.48941421508789,845.6866455078125,37.05179214477539,604.2379760742188,-9.531400680541992,427.7765808105469,6.639950752258301,305.2605895996094,-9.192619323730467,259.21099853515625,4.823796272277832,242.1551971435547,-14.130587577819824,284.3003234863281,4.379292011260986,175.656494140625,1.7938075065612793,140.9635467529297,1.650510549545288,184.36407470703125,-3.9173779487609854,114.0887222290039,-5.527335166931152,177.59835815429688,-8.089932441711426,182.41574096679688,-3.78011965751648,176.81723022460938,-2.265341281890869,86.71807861328125,-9.386711120605467,90.33868408203124,-7.538966655731201,112.2543716430664,-4.657261848449707,58.30651092529297,Reggae,c min,0,2
Короче говоря,Бизнес и работа,koroche_govorja_jingle.mp3,219802.0,0.7526109218597412,0.0391694977879524,0.0753126814961433,0.0010377708822488,1897.5544598874208,2704909.874135253,2600.760174099876,2138712.508163928,4287.2106649709285,14401804.175286066,0.0272142986918604,0.0013947252765612,0.0001017298855003,0.0048957113176584,0.0003259734658058,0.0007802492473274,114.84375,-324.0932312011719,9312.4892578125,147.7303009033203,3243.185546875,-4.953408241271973,591.615478515625,34.21450042724609,682.8593139648438,22.032337188720703,542.939697265625,27.62980651855469,366.1784057617188,8.441020965576174,177.81976318359375,21.68447494506836,88.50690460205078,5.114615440368652,123.72856903076172,16.69304084777832,77.82213592529297,5.580344200134277,97.53202056884766,7.373480796813965,71.17236328125,1.8507663011550903,62.10923767089844,6.294719696044923,43.70755386352539,2.9161972999572754,42.729679107666016,2.399604082107544,34.73397827148437,2.584081649780273,55.12401962280274,0.7887764573097229,40.01095581054688,2.930002927780152,33.7847900390625,-1.553120493888855,39.61197280883789,Country,D Maj,2,2
Na Zdorovie,Здоровье и лайфстайл,na_zdorovie_jingle.mp3,413683.0,0.4027511775493622,0.0893526747822761,0.0852480232715606,0.0004365876084193,861.3537043773161,171022.69182221356,1050.8764836737723,245044.0230264988,1533.8143225943688,859098.8596942091,0.0225540010055693,8.51775893229221e-05,-4.2798656068043775e-06,0.0054036187939345,6.648287467214686e-07,0.0004694161470979,99.38401442307692,-320.7215881347656,3149.65771484375,247.9534912109375,810.6643676757812,9.0960693359375,2018.2796630859373,-5.975529193878174,711.95263671875,2.687678337097168,237.80581665039062,-2.6849400997161865,90.08039093017578,-5.692809581756593,137.75627136230472,-5.382479667663574,55.85517501831055,-0.4570075273513794,48.32625961303711,-3.758946895599365,34.66798782348633,-11.023500442504883,32.59212875366211,-11.606597900390625,28.668392181396484,-9.072033882141113,28.2363224029541,-6.658880710601808,20.84043502807617,-7.02564001083374,23.18826103210449,-8.653573989868164,26.802400588989247,-7.664894104003906,30.28796577453613,-6.731725692749023,39.99636840820313,-3.0998532772064213,35.6623649597168,-1.5371792316436768,28.512540817260746,Jazz,D Maj,4,1
Без шапки,Здоровье и лайфстайл,bez_shapki_jingle.mp3,353549.0,0.4843681752681732,0.0923689529299736,0.0788700506091117,0.0015079886652529,3104.521660022088,2033987.885281541,3487.034546026292,521623.154733491,6790.3133055580665,8678643.504567057,0.0613185148335745,0.0026141111110053,4.478392384044128e-06,0.0041086487472057,6.136955562396906e-06,0.0017458455404266,99.38401442307692,-242.8900146484375,7464.91455078125,124.41561126708984,1269.376220703125,-12.726899147033693,883.9014282226562,57.43601989746094,468.7000732421875,-20.42953109741211,490.0689697265625,33.276477813720696,200.901123046875,-11.0302095413208,214.43679809570312,13.723611831665039,122.18805694580078,-5.638394355773926,152.7184600830078,2.526833295822144,130.94703674316406,-1.0454754829406738,166.5072021484375,-4.332397937774658,93.737548828125,3.989129304885864,67.89214324951172,-2.3330209255218506,80.15660095214844,1.8203792572021484,77.64971160888672,-5.466933727264403,56.21864700317383,0.719878613948822,55.2835807800293,-8.070709228515625,58.4410514831543,-0.4678114056587219,54.97005081176758,-5.142319679260254,38.57685470581055,Reggae,F Maj,2,1
"Metabolic Daria: Похудение, Биохакинг, Оптимизация Жизни",Здоровье и лайфстайл,metabolic_daria_pohudenie_biohaking_optimizatsija_zhizni_jingle.mp3,295488.0,0.2755616903305053,0.1023254245519638,0.0831877887248992,0.0021088914945721,2907.6071314680034,2887217.742016099,3142.543945126858,1072281.111099699,5806.737436472751,12821229.151490765,0.0614600792063148,0.0028665499984871,-4.7843437641859055e-05,0.0056438911706209,-1.3109672181599308e-05,0.0020839844364672,109.95678191489357,-248.06271362304688,12072.7197265625,119.61296844482422,1434.1767578125,-19.504119873046875,384.3865966796875,27.394001007080078,846.42529296875,-26.55914878845215,252.63771057128903,7.026072502136231,444.851318359375,-10.528703689575195,196.07212829589844,13.986331939697266,105.6280288696289,-0.6284599900245667,170.2509765625,8.487692832946777,219.4539794921875,3.27205491065979,137.10386657714844,6.745874404907228,71.85872650146484,-2.2325472831726074,73.85352325439453,-2.43146014213562,55.18745803833008,-5.846227645874023,56.74231719970703,-6.223146438598633,53.1923942565918,-3.0598533153533936,64.19264221191406,-2.4791929721832275,35.88085174560547,10.480712890625,55.094642639160156,6.687600135803223,89.90509033203125,Rock,G# Maj,2,1
Спроси себя почему,Здоровье и лайфстайл,sprosi_sebja_pochemu_jingle.mp3,189734.0,0.2496384531259537,0.0893571376800537,0.0709018856287002,0.0005580393481068,2112.563324585625,720510.3357374562,1978.276919176544,226069.53903985987,3651.9964254127362,2158170.223295497,0.0615023795485175,0.000282924650797,1.1228552239117564e-06,0.0052757817320525,-1.109916183850146e-06,5.4707463277736685e-05,79.50721153846153,-277.62994384765625,1888.9761962890625,144.9202117919922,885.2828369140625,-82.56310272216797,326.4327392578125,0.4359382688999176,57.26847839355469,-23.96000862121582,136.15794372558594,-36.718746185302734,83.2757568359375,-33.87634658813477,140.8258056640625,-15.10671615600586,96.03682708740234,-3.382198572158813,85.72010803222656,8.885734558105469,64.36404418945311,8.183215141296388,111.9697494506836,5.388899326324463,83.25941467285156,7.6601619720458975,62.3262825012207,9.639537811279297,50.58799743652344,10.087279319763184,34.634532928466804,8.792753219604492,41.65329360961914,12.826611518859865,43.897857666015625,9.5291166305542,32.38167953491211,0.345539927482605,135.95826721191406,-3.5576863288879395,36.10991287231445,Classical,a min,7,1
